t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag
15.673759,221,^,0.491484,0.520012,1.040163,1.040969,-0.020282,6.085595981104e-08,6.149591125624e-08,,
15.744681,222,^,0.465668,0.519589,1.041444,1.042303,-0.020935,6.125501717513e-08,6.260544900976e-08,,
15.815603,223,^,0.439873,0.517885,1.042727,1.043639,-0.021590,6.164487952623e-08,6.271156126985e-08,,
15.886525,224,^,0.414162,0.514899,1.044011,1.044979,-0.022246,6.201663073796e-08,6.285767602567e-08,,
15.957447,225,^,0.388600,0.510638,1.045296,1.046322,-0.022903,6.235591869339e-08,6.322722401744e-08,,
16.028369,226,^,0.363249,0.505108,1.046584,1.047669,-0.023561,6.264346935351e-08,6.331018211936e-08,,
16.099291,227,^,0.338173,0.498318,1.047873,1.049019,-0.024221,6.285586109730e-08,6.383409664675e-08,,
16.170213,228,^,0.313433,0.490284,1.049163,1.050372,-0.024881,6.296653152633e-08,6.436093501513e-08,,
16.241135,229,^,0.289093,0.481022,1.050455,1.051728,-0.025543,6.294697886859e-08,6.490521465312e-08,,
16.312057,230,^,0.265213,0.470552,1.051749,1.053088,-0.026206,6.276811144924e-08,6.554027968696e-08,,
16.382979,231,^,0.241852,0.458896,1.053044,1.054451,-0.026871,6.240169178182e-08,6.587448667592e-08,,
16.453901,232,^,0.219070,0.446080,1.054341,1.055818,-0.027537,6.182181696869e-08,6.599569525418e-08,,
16.524823,233,^,0.196924,0.432133,1.055640,1.057188,-0.028203,6.100637450245e-08,6.664572626654e-08,,
16.595745,234,^,0.175471,0.417087,1.056940,1.058561,-0.028871,5.993841236156e-08,6.652484483021e-08,,
16.666667,235,^,0.154764,0.400975,1.058242,1.059938,-0.029541,5.860736453137e-08,6.666960186941e-08,,
16.737589,236,^,0.134858,0.383836,1.059545,1.061318,-0.030211,5.701007769727e-08,6.681435890860e-08,,
16.808511,237,^,0.115802,0.365708,1.060850,1.062701,-0.030883,5.515159169695e-08,6.694141774156e-08,,
16.879433,238,^,0.097646,0.346634,1.062156,1.064088,-0.031556,5.304563514117e-08,6.706847657453e-08,,
16.950355,239,^,0.080437,0.326659,1.063465,1.065478,-0.032230,5.071480809282e-08,6.786339795952e-08,,
17.021277,240,^,0.064220,0.305830,1.064774,1.066872,-0.032906,4.819043544029e-08,6.865831934451e-08,,
17.092199,241,^,0.049037,0.284196,1.066086,1.068269,-0.033583,4.551208716569e-08,6.835510029045e-08,,
17.163121,242,^,0.034928,0.261807,1.067399,1.069670,-0.034261,4.272677460736e-08,6.765216510841e-08,,
17.234043,243,^,0.021931,0.238719,1.068713,1.071074,-0.034940,3.988784454623e-08,6.749359481359e-08,,
17.304965,244,^,0.010079,0.214985,1.070029,1.072481,-0.035621,3.705360500552e-08,6.731571177453e-08,,
17.375887,245,^,0.000000,0.190549,1.070157,1.072618,-0.035687,3.431286234312e-08,6.689875529876e-08,,
17.446809,246,^,0.000000,0.164174,1.052526,1.053906,-0.026605,3.269702899298e-08,6.608208269500e-08,,
17.517730,247,^,0.000000,0.138224,1.037509,1.038212,-0.018929,3.124211872777e-08,6.570891939580e-08,,
17.588652,248,^,0.000000,0.112629,1.025057,1.025370,-0.012606,2.997060191095e-08,6.511696270559e-08,,
17.659574,249,^,0.000000,0.087318,1.015134,1.015249,-0.007596,2.889840295974e-08,6.460954486133e-08,,
17.730496,250,^,0.000000,0.062225,1.007714,1.007744,-0.003865,2.803572052682e-08,6.376567368319e-08,,
17.801418,251,^,0.000000,0.037288,1.002777,1.002781,-0.001389,2.769961058454e-08,6.402330912394e-08,,
17.872340,252,^,0.000000,0.012442,1.000310,1.000310,-0.000155,2.769733715929e-08,6.434261311271e-08,,
17.943262,253,^,0.000000,0.012373,1.000306,1.000306,-0.000153,2.699193377235e-08,6.462571331388e-08,,
18.014184,254,^,0.000614,0.037196,1.001538,1.001539,-0.000769,2.710807103819e-08,6.490881351504e-08,,
18.085106,255,^,0.002461,0.061988,1.002772,1.002775,-0.001387,2.762508187427e-08,6.457837491915e-08,,
18.156028,256,^,0.005538,0.086689,1.004007,1.004015,-0.002005,2.854456412335e-08,6.422467074533e-08,,
18.226950,257,^,0.009842,0.111236,1.005243,1.005257,-0.002625,2.984605894657e-08,6.380187319299e-08,,
18.297872,258,^,0.015364,0.135570,1.006481,1.006502,-0.003246,3.150026534067e-08,6.337907564065e-08,,
18.368794,259,^,0.022095,0.159630,1.007721,1.007750,-0.003868,3.346991247234e-08,6.283786330573e-08,,
18.439716,260,^,0.030020,0.183356,1.008962,1.009002,-0.004491,3.571089247430e-08,6.217591289400e-08,,
18.510638,261,^,0.039123,0.206689,1.010204,1.010256,-0.005115,3.817361382445e-08,6.141561640188e-08,,
18.581560,262,^,0.049384,0.229569,1.011448,1.011514,-0.005741,4.080452693833e-08,6.077527079622e-08,,
18.652482,263,^,0.060781,0.251940,1.012694,1.012775,-0.006367,4.354776691263e-08,6.176739512165e-08,,
18.723404,264,^,0.073288,0.273745,1.013941,1.014039,-0.006995,4.634685374143e-08,6.217908307964e-08,,
18.794326,265,^,0.086879,0.294929,1.015190,1.015305,-0.007624,4.914638798239e-08,6.246845683934e-08,,
18.865248,266,^,0.101520,0.315439,1.016440,1.016576,-0.008254,5.189367988917e-08,6.254658234740e-08,,
18.936170,267,^,0.117181,0.335222,1.017692,1.017849,-0.008885,5.454025246371e-08,6.284204215563e-08,,
19.007092,268,^,0.133823,0.354227,1.018946,1.019125,-0.009518,5.704316364302e-08,6.295729964610e-08,,
19.078014,269,^,0.151408,0.372406,1.020200,1.020405,-0.010151,5.936609974935e-08,6.256696413224e-08,,
19.148936,270,^,0.169897,0.389712,1.021457,1.021687,-0.010786,6.148020114595e-08,6.232206721925e-08,,
19.219858,271,^,0.189244,0.406100,1.022715,1.022973,-0.011422,6.336459142098e-08,6.310270042265e-08,,
19.290780,272,^,0.209405,0.421528,1.023974,1.024262,-0.012059,6.500659297296e-08,6.368130741275e-08,,
19.361702,273,^,0.230332,0.435954,1.025236,1.025554,-0.012697,6.640162414721e-08,6.420207495712e-08,,
19.432624,274,^,0.251975,0.449342,1.026498,1.026849,-0.013337,6.755278559476e-08,6.461824195025e-08,,
19.503546,275,^,0.274283,0.461655,1.027762,1.028148,-0.013977,6.847015580222e-08,6.475607199814e-08,,
19.574468,276,^,0.297202,0.472861,1.029028,1.029450,-0.014619,6.916982728572e-08,6.489390204604e-08,,
19.645390,277,^,0.320677,0.482929,1.030296,1.030754,-0.015262,6.967272529307e-08,6.450719875705e-08,,
19.716312,278,^,0.344653,0.491832,1.031564,1.032063,-0.015906,7.000325959612e-08,6.506729282049e-08,,
19.787234,279,^,0.369070,0.499544,1.032835,1.033374,-0.016551,7.018786672287e-08,6.530804565635e-08,,
19.858156,280,^,0.393870,0.506044,1.034107,1.034689,-0.017198,7.025350449074e-08,6.546720277843e-08,,
19.929078,281,^,0.418993,0.511313,1.035380,1.036006,-0.017846,7.022616276331e-08,6.639472376356e-08,,
20.000000,282,^,0.444377,0.515335,1.036656,1.037327,-0.018495,7.012945385979e-08,6.671128320787e-08,,
20.070922,283,^,0.469961,0.518096,1.037932,1.038652,-0.019145,6.998334299958e-08,6.665799684014e-08,,
20.141844,284,^,0.495682,0.519587,1.039211,1.039979,-0.019796,6.980307366184e-08,6.660471047240e-08,,
20.212766,285,^,0.521477,0.519802,1.040490,1.041310,-0.020449,6.959833498223e-08,6.742404272316e-08,,
20.283688,286,^,0.547283,0.518735,1.041772,1.042644,-0.021103,6.937270858364e-08,6.812566874738e-08,,
20.354610,287,^,0.573036,0.516388,1.043055,1.043982,-0.021758,6.912342091669e-08,6.824321598588e-08,,
20.425532,288,^,0.598672,0.512762,1.044340,1.045323,-0.022414,6.884141470567e-08,6.853858040023e-08,,
20.496454,289,^,0.624128,0.507864,1.045626,1.046667,-0.023071,6.851173994423e-08,6.896059807655e-08,,
20.567376,290,^,0.649341,0.501701,1.046913,1.048014,-0.023730,6.811425158147e-08,6.908882438018e-08,,
20.638298,291,^,0.674248,0.494287,1.048203,1.049365,-0.024390,6.762458811403e-08,6.916631051302e-08,,
20.709220,292,^,0.698788,0.485637,1.049494,1.050719,-0.025051,6.701539327283e-08,6.922449896754e-08,,
20.780142,293,^,0.722897,0.475768,1.050786,1.052076,-0.025713,6.625773235584e-08,6.962151944202e-08,,
20.851064,294,^,0.746517,0.464702,1.052080,1.053437,-0.026376,6.532264595003e-08,6.985000618659e-08,,
20.921986,295,^,0.769587,0.452463,1.053376,1.054801,-0.027041,6.418277717856e-08,6.991362564977e-08,,
20.992908,296,^,0.792050,0.439080,1.054673,1.056168,-0.027707,6.281400449291e-08,6.982632906779e-08,,
21.063830,297,^,0.813848,0.424581,1.055972,1.057539,-0.028374,6.119701059609e-08,6.854088306816e-08,,
21.134752,298,^,0.834927,0.409000,1.057273,1.058913,-0.029043,5.931871942127e-08,6.968370414099e-08,,
21.205674,299,^,0.855232,0.392372,1.058575,1.060290,-0.029712,5.717353718027e-08,7.094382926541e-08,,
21.276596,300,^,0.874711,0.374736,1.059879,1.061671,-0.030383,5.476434020841e-08,7.204803472219e-08,,
21.347518,301,^,0.893315,0.356134,1.061184,1.063056,-0.031055,5.210316143120e-08,7.300071233665e-08,,
21.418440,302,^,0.910995,0.336607,1.062491,1.064443,-0.031729,4.921153843311e-08,7.502672534775e-08,,
21.489362,303,^,0.927706,0.316203,1.063799,1.065835,-0.032403,4.612049890153e-08,7.412161934622e-08,,
21.560284,304,^,0.943404,0.294970,1.065110,1.067229,-0.033079,4.287017316406e-08,7.321651334469e-08,,
21.631206,305,^,0.958048,0.272957,1.066421,1.068627,-0.033756,3.950903809700e-08,7.246267533664e-08,,
21.702128,306,^,0.971599,0.250217,1.067735,1.070029,-0.034435,3.609281129013e-08,7.170883732860e-08,,
21.773050,307,^,0.984021,0.226804,1.069050,1.071434,-0.035114,3.268302843106e-08,7.152041275154e-08,,
21.843972,308,^,0.995281,0.202775,1.070366,1.072842,-0.035795,2.934534986139e-08,7.133198817448e-08,,
21.914894,309,^,1.000000,0.177238,1.060968,1.062827,-0.030944,2.677392314017e-08,6.974233287745e-08,,
21.985816,310,^,1.000000,0.151086,1.044657,1.045654,-0.022576,2.676002784981e-08,6.850996642935e-08,,
22.056738,311,^,1.000000,0.125324,1.030934,1.031412,-0.015586,2.674862769217e-08,6.709747677604e-08,,
22.127660,312,^,1.000000,0.099879,1.019757,1.019952,-0.009927,2.673950145304e-08,6.568498712274e-08,,
22.198582,313,^,1.000000,0.074686,1.011095,1.011156,-0.005563,2.673247675708e-08,6.548576410495e-08,,
22.269504,314,^,1.000000,0.049679,1.004924,1.004936,-0.002465,2.672742381571e-08,6.588356305591e-08,,
22.340426,315,^,1.000000,0.024796,1.001229,1.001230,-0.000615,2.672425084294e-08,6.751771425216e-08,,
22.411348,316,^,1.000000,0.000027,1.000000,1.000000,-0.000000,2.671974024476e-08,6.854726487238e-08,,
22.482270,317,^,0.999999,0.024850,1.001232,1.001232,-0.000616,2.762147149646e-08,6.834713725030e-08,,
22.553191,318,^,0.998765,0.049672,1.002465,1.002468,-0.001233,2.794333121321e-08,6.821165966115e-08,,
22.624113,319,^,0.996299,0.074434,1.003699,1.003706,-0.001851,2.868608899041e-08,6.814142481383e-08,,
22.695035,320,^,0.992604,0.099073,1.004935,1.004948,-0.002471,2.983378516020e-08,6.746977553305e-08,,
22.765957,321,^,0.987685,0.123528,1.006173,1.006192,-0.003091,3.136117521251e-08,6.742404272316e-08,,
22.836879,322,^,0.981553,0.147740,1.007412,1.007440,-0.003713,3.323446246644e-08,6.719402524748e-08,,
22.907801,323,^,0.974218,0.171646,1.008653,1.008690,-0.004336,3.541230854995e-08,6.655875579312e-08,,
22.978723,324,^,0.965697,0.195189,1.009895,1.009944,-0.004960,3.784708657975e-08,6.564773605319e-08,,
23.049645,325,^,0.956006,0.218309,1.011139,1.011201,-0.005585,4.048633265948e-08,6.540891787667e-08,,
23.120567,326,^,0.945168,0.240947,1.012384,1.012461,-0.006211,4.327434367667e-08,6.490585192509e-08,,
23.191489,327,^,0.933206,0.263048,1.013631,1.013724,-0.006839,4.615386368927e-08,6.556054163240e-08,,
23.262411,328,^,0.920147,0.284555,1.014879,1.014990,-0.007467,4.906779768851e-08,6.624758903949e-08,,
23.333333,329,^,0.906020,0.305413,1.016129,1.016259,-0.008097,5.196089035989e-08,6.607336894488e-08,,
23.404255,330,^,0.890858,0.325570,1.017381,1.017532,-0.008728,5.478130870336e-08,6.460761779585e-08,,
23.475177,331,^,0.874695,0.344974,1.018634,1.018807,-0.009360,5.748207098554e-08,6.441837245177e-08,,
23.546099,332,^,0.857569,0.363576,1.019888,1.020086,-0.009993,6.002227035923e-08,6.377617327452e-08,,
23.617021,333,^,0.839519,0.381328,1.021144,1.021368,-0.010628,6.236804938429e-08,6.338155826938e-08,,
23.687943,334,^,0.820588,0.398183,1.022402,1.022653,-0.011263,6.449329132531e-08,6.491078281015e-08,,
23.758865,335,^,0.800820,0.414099,1.023661,1.023941,-0.011900,6.638000511841e-08,6.497607048982e-08,,
23.829787,336,^,0.780261,0.429033,1.024922,1.025232,-0.012538,6.801839287020e-08,6.444933683595e-08,,
23.900709,337,^,0.758962,0.442947,1.026184,1.026527,-0.013177,6.940660121014e-08,6.466979594594e-08,,
23.971631,338,^,0.736972,0.455803,1.027448,1.027825,-0.013818,7.055017027791e-08,6.530068045395e-08,,
24.042553,339,^,0.714343,0.467568,1.028713,1.029126,-0.014459,7.146120609617e-08,6.662831142220e-08,,
24.113475,340,^,0.691131,0.478209,1.029980,1.030430,-0.015102,7.215731308136e-08,6.792953974526e-08,,
24.184397,341,^,0.667390,0.487698,1.031249,1.031737,-0.015746,7.266033303741e-08,6.794274106785e-08,,
24.255319,342,^,0.643178,0.496008,1.032519,1.033048,-0.016391,7.299494476960e-08,6.893875697412e-08,,
24.326241,343,^,0.618553,0.503116,1.033790,1.034361,-0.017037,7.318718412548e-08,7.106239509526e-08,,
24.397163,344,^,0.593576,0.509002,1.035064,1.035678,-0.017685,7.326294757522e-08,7.258575090095e-08,,
24.468085,345,^,0.568306,0.513647,1.036338,1.036999,-0.018333,7.324654323518e-08,7.362649416683e-08,,
24.539007,346,^,0.542806,0.517038,1.037615,1.038322,-0.018983,7.315935146432e-08,7.291624725825e-08,,
24.609929,347,^,0.517137,0.519164,1.038893,1.039649,-0.019634,7.301865287266e-08,7.306839866883e-08,,
24.680851,348,^,0.491363,0.520014,1.040172,1.040979,-0.020286,7.283667492451e-08,7.323171781183e-08,,
24.751773,349,^,0.465547,0.519586,1.041453,1.042312,-0.020940,7.261989954192e-08,7.326385002098e-08,,
24.822695,350,^,0.439752,0.517875,1.042736,1.043649,-0.021595,7.236866354683e-08,7.358009347644e-08,,
24.893617,351,^,0.414042,0.514884,1.044020,1.044989,-0.022250,7.207707183023e-08,7.712699658592e-08,,
24.964539,352,^,0.388480,0.510617,1.045306,1.046332,-0.022908,7.173323026800e-08,7.730554240618e-08,,
25.035461,353,^,0.363130,0.505080,1.046593,1.047679,-0.023566,7.131979212103e-08,7.777365900012e-08,,
25.106383,354,^,0.338056,0.498285,1.047882,1.049028,-0.024225,7.081479848997e-08,7.834098292179e-08,,
25.177305,355,^,0.313318,0.490245,1.049173,1.050382,-0.024886,7.019278086972e-08,8.031776095553e-08,,
25.248227,356,^,0.288980,0.480978,1.050465,1.051738,-0.025548,6.942608247357e-08,8.229453898928e-08,,
25.319149,357,^,0.265101,0.470501,1.051758,1.053098,-0.026211,6.848634523930e-08,8.252633643983e-08,,
25.390071,358,^,0.241743,0.458840,1.053054,1.054461,-0.026876,6.734610169733e-08,8.272366521262e-08,,
25.460993,359,^,0.218964,0.446018,1.054351,1.055828,-0.027541,6.598040550588e-08,8.193871901525e-08,,
25.531915,360,^,0.196821,0.432066,1.055649,1.057198,-0.028208,6.436843168277e-08,8.139991336049e-08,,
25.602837,361,^,0.175371,0.417015,1.056949,1.058571,-0.028876,6.249497752787e-08,8.221247052463e-08,,
25.673759,362,^,0.154668,0.400899,1.058251,1.059948,-0.029546,6.035179796995e-08,8.326806612145e-08,,
25.744681,363,^,0.134765,0.383754,1.059554,1.061328,-0.030216,5.793871451005e-08,8.476614014516e-08,,
25.815603,364,^,0.115714,0.365622,1.060859,1.062711,-0.030888,5.526444488819e-08,8.473019560407e-08,,
25.886525,365,^,0.097562,0.346544,1.062166,1.064098,-0.031561,5.234711078567e-08,8.576075870080e-08,,
25.957447,366,^,0.080358,0.326565,1.063474,1.065488,-0.032235,4.921439291505e-08,8.580759725213e-08,,
26.028369,367,^,0.064145,0.305732,1.064784,1.066882,-0.032911,4.590331629054e-08,8.396096201622e-08,,
26.099291,368,^,0.048967,0.284093,1.066095,1.068279,-0.033588,4.245966279813e-08,8.303383350918e-08,,
26.170213,369,^,0.034863,0.261702,1.067408,1.069680,-0.034266,3.893702284215e-08,8.218125252589e-08,,
26.241135,370,^,0.021871,0.238610,1.068723,1.071084,-0.034945,3.539551225871e-08,8.161507159682e-08,,
26.312057,371,^,0.010025,0.214873,1.070039,1.072491,-0.035626,3.190019428517e-08,8.144215115384e-08,,
26.382979,372,^,0.000000,0.190426,1.070069,1.072524,-0.035641,2.855641554868e-08,8.141910044100e-08,,
26.453901,373,^,0.000000,0.164052,1.052451,1.053826,-0.026566,2.774700557509e-08,8.139442269860e-08,,
26.524823,374,^,0.000000,0.138105,1.037445,1.038146,-0.018897,2.773432523725e-08,8.135818978659e-08,,
26.595745,375,^,0.000000,0.112511,1.025005,1.025317,-0.012580,2.772403544403e-08,8.130973698132e-08,,
26.666667,376,^,0.000000,0.087201,1.015094,1.015208,-0.007575,2.771593932551e-08,8.124815779103e-08,,
26.737589,377,^,0.000000,0.062109,1.007686,1.007715,-0.003850,2.770988573423e-08,8.117227144703e-08,,
26.808511,378,^,0.000000,0.037172,1.002760,1.002763,-0.001381,2.770576383935e-08,8.047655367941e-08,,
26.879433,379,^,0.000000,0.012326,1.000304,1.000304,-0.000152,2.770349925533e-08,7.970539809758e-08,,
26.950355,380,^,0.000000,0.012489,1.000312,1.000312,-0.000156,2.700203696834e-08,7.967508850958e-08,,
27.021277,381,^,0.000620,0.037311,1.001544,1.001545,-0.000772,2.710747644681e-08,7.935877007420e-08,,
27.092199,382,^,0.002472,0.062103,1.002777,1.002781,-0.001390,2.762639436717e-08,7.912748196196e-08,,
27.163121,383,^,0.005555,0.086803,1.004012,1.004020,-0.002008,2.854771091159e-08,7.912748196196e-08,,
27.234043,384,^,0.009865,0.111350,1.005249,1.005263,-0.002628,2.985092411785e-08,7.912748196196e-08,,
27.304965,385,^,0.015393,0.135683,1.006487,1.006508,-0.003249,3.150669323489e-08,7.912748196196e-08,,
27.375887,386,^,0.022129,0.159742,1.007726,1.007756,-0.003871,3.347771235762e-08,7.912748196196e-08,,
27.446809,387,^,0.030059,0.183466,1.008968,1.009008,-0.004494,3.571984436086e-08,7.912748196196e-08,,
27.517730,388,^,0.039168,0.206796,1.010210,1.010262,-0.005118,3.818347521038e-08,7.912748196196e-08,,
27.588652,389,^,0.049434,0.229674,1.011454,1.011520,-0.005744,4.081504024518e-08,7.978997168303e-08,,
27.659574,390,^,0.060836,0.252043,1.012700,1.012781,-0.006370,4.355866734186e-08,7.996909197737e-08,,
27.730496,391,^,0.073349,0.273845,1.013947,1.014044,-0.006998,4.635787726611e-08,8.092942557247e-08,,
27.801418,392,^,0.086944,0.295026,1.015196,1.015311,-0.007627,4.915727918266e-08,8.191554832957e-08,,
27.872340,393,^,0.101591,0.315533,1.016446,1.016581,-0.008257,5.190419934550e-08,8.200181728476e-08,,
27.943262,394,^,0.117256,0.335312,1.017698,1.017855,-0.008888,5.455018343833e-08,8.206738214260e-08,,
28.014184,395,^,0.133902,0.354313,1.018951,1.019131,-0.009520,5.705231780727e-08,8.254415208760e-08,,
28.085106,396,^,0.151492,0.372489,1.020206,1.020410,-0.010154,5.937432175109e-08,8.365191885238e-08,,
28.156028,397,^,0.169985,0.389790,1.021463,1.021693,-0.010789,6.148737185606e-08,8.526420715740e-08,,
28.226950,398,^,0.189336,0.406174,1.022721,1.022979,-0.011425,6.337062974936e-08,8.738901002526e-08,,
28.297872,399,^,0.209501,0.421597,1.023980,1.024268,-0.012062,6.501145620034e-08,8.828670996842e-08,,
28.368794,400,^,0.230431,0.436019,1.025241,1.025560,-0.012700,6.640530677711e-08,8.897353672035e-08,,
28.439716,401,^,0.252077,0.449402,1.026504,1.026855,-0.013339,6.755531678835e-08,8.973503291161e-08,,
28.510638,402,^,0.274388,0.461710,1.027768,1.028154,-0.013980,6.847159551492e-08,9.014845746432e-08,,
28.581560,403,^,0.297310,0.472911,1.029034,1.029456,-0.014622,6.917026127600e-08,9.057323219403e-08,,
28.652482,404,^,0.320788,0.482973,1.030301,1.030761,-0.015265,6.967225921887e-08,9.100342786414e-08,,
28.723404,405,^,0.344765,0.491870,1.031570,1.032069,-0.015909,7.000201245127e-08,9.187813331629e-08,,
28.794326,406,^,0.369184,0.499577,1.032841,1.033380,-0.016554,7.018596389258e-08,9.287099620200e-08,,
28.865248,407,^,0.393986,0.506071,1.034113,1.034695,-0.017201,7.025107072109e-08,9.419001938859e-08,,
28.936170,408,^,0.419110,0.511335,1.035386,1.036012,-0.017849,7.022331534386e-08,9.486415278594e-08,,
29.007092,409,^,0.444495,0.515350,1.036662,1.037334,-0.018498,7.012629631051e-08,9.500629377016e-08,,
29.078014,410,^,0.470080,0.518106,1.037938,1.038658,-0.019148,6.997995953347e-08,9.512846553200e-08,,
29.148936,411,^,0.495802,0.519591,1.039217,1.039986,-0.019799,6.979952466411e-08,9.592931243129e-08,,
29.219858,412,^,0.521597,0.519800,1.040496,1.041316,-0.020452,6.959465370593e-08,9.774719009755e-08,,
29.290780,413,^,0.547403,0.518728,1.041778,1.042651,-0.021106,6.936889921261e-08,9.894821433916e-08,,
29.361702,414,^,0.573155,0.516374,1.043061,1.043988,-0.021761,6.911945809103e-08,9.987992643412e-08,,
29.432624,415,^,0.598791,0.512742,1.044346,1.045329,-0.022417,6.883724454479e-08,1.006106157982e-07,,
